Change,Description,MultipleCompulsory,Department,Number,Grade,Class,Name,Url,Credit,YearSemester,CompulsoryElective,Restrict,Select,Selected,Remaining,Teacher,Room,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Context
,,*,中文思辨與表達,GECE103,0,,中文思辨與表達（一）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GECE103&Crsname=中文思辨與表達（一）,3,期,必,45,1,44,1,杜佳倫,文LA 1002,,234,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。3、執行深耕計畫。中文創意跨域應用整合學程
,,*,中文思辨與表達,GECE103A,0,,中文思辨與表達（一）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GECE103A&Crsname=中文思辨與表達（一）,3,期,必,45,1,45,0,林芷瑩,海MA 1005,,234,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。 3、執行深耕計畫。中文創意跨域應用整合學程
,,*,中文思辨與表達,GECE103B,0,,中文思辨與表達（一）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GECE103B&Crsname=中文思辨與表達（一）,3,期,必,45,1,45,0,吳孟謙,理SC 0014,,234,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。 3、執行深耕計畫。中文創意跨域應用整合學程
,,*,中文思辨與表達,GECE103C,0,,中文思辨與表達（一）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GECE103C&Crsname=中文思辨與表達（一）,3,期,必,45,0,45,0,莫加南,管CM 3019,,234,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。 3、執行深耕計畫。中文創意跨域應用整合學程
,,*,中文思辨與表達,GECE103D,0,,中文思辨與表達（一）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GECE103D&Crsname=中文思辨與表達（一）,3,期,必,45,6,45,0,黃羽璿,工EC 2007,,234,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。 3、執行深耕計畫。中文創意跨域應用整合學程
,,*,中文思辨與表達,GECE103E,0,,中文思辨與表達（一）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GECE103E&Crsname=中文思辨與表達（一）,3,期,必,45,1,45,0,賴佩暄,管CM 4078,,234,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。 3、執行深耕計畫。中文創意跨域應用整合學程
,,*,中文思辨與表達,GECE103F,0,,中文思辨與表達（一）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GECE103F&Crsname=中文思辨與表達（一）,3,期,必,45,0,47,-2,蔡美智,文LA 1002,,567,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。 3、執行深耕計畫。中文創意跨域應用整合學程
,,*,中文思辨與表達,GECE103G,0,,中文思辨與表達（一）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GECE103G&Crsname=中文思辨與表達（一）,3,期,必,45,1,44,1,鍾志偉,理SC 0014,,567,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。 3、執行深耕計畫。中文創意跨域應用整合學程
,,*,中文思辨與表達,GECE103H,0,,中文思辨與表達（一）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GECE103H&Crsname=中文思辨與表達（一）,3,期,必,45,3,46,-1,黃冠雲,理SC 1001,,567,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。 3、執行深耕計畫。中文創意跨域應用整合學程
,,*,中文思辨與表達,GECE103I,0,,中文思辨與表達（一）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GECE103I&Crsname=中文思辨與表達（一）,3,期,必,45,0,44,1,謝薇娜,工EC 2007,,567,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。 3、執行深耕計畫。中文創意跨域應用整合學程
